UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,Citation,RELATIONSHIP,DATE,LOCATION PRECISION
b12efad5-cb36-49e3-afce-dd3fec699f8c,Capenates,char-offset:24601,PEOPLE,http://pleiades.stoa.org/places/413062,"Capena|Capena, La Civitucola, Capena",42.172778,12.537935,settlement,"5,6",,403 B.C.,
46fdd7cd-9514-49bf-bfe6-1e77355a28b7,Capenates,char-offset:53730,PEOPLE,http://pleiades.stoa.org/places/413062,"Capena|Capena, La Civitucola, Capena",42.172778,12.537935,settlement,"5,16",,398 B.C.,
09c9eda8-9ec3-441d-b1ab-c3c1854092b8,Carmentis,char-offset:50712,PLACE,,,,,,"5,47",,386 B.C.,
471a66fa-a5d2-4b7a-8c16-23a15bc1f426,Cenomani,char-offset:18815,PEOPLE,http://pleiades.stoa.org/places/383614,Cenomani,45.25,9.75,people,"5,35",,390 B.C.,
ed0b17fe-bf71-4433-983f-1b48315c8cad,Clusines,char-offset:14843,PLACE,http://pleiades.stoa.org/places/413096,"Clusium|Clusium/Camars, Chiusi|Tomba della Scimmia, Chiusi|Chiusi",43.015733,11.949059,settlement,"5,33",,390 B.C.,
200e7f74-e9c8-400a-ac50-31b5d31df57c,Clusines,char-offset:21012,PLACE,http://pleiades.stoa.org/places/413096,"Clusium|Clusium/Camars, Chiusi|Tomba della Scimmia, Chiusi|Chiusi",43.015733,11.949059,settlement,"5,36",,386 B.C.,
1ca3bc0e-6423-46c4-9964-1852f258b623,Clusines,char-offset:21242,PLACE,http://pleiades.stoa.org/places/413096,"Clusium|Clusium/Camars, Chiusi|Tomba della Scimmia, Chiusi|Chiusi",43.015733,11.949059,settlement,"5,36",,386 B.C.,
0dfe2a38-a348-4f66-808e-29c0419eebfd,Clusines,char-offset:22665,PLACE,http://pleiades.stoa.org/places/413096,"Clusium|Clusium/Camars, Chiusi|Tomba della Scimmia, Chiusi|Chiusi",43.015733,11.949059,settlement,"5,36",,386 B.C.,
82541cab-0dc4-45b8-b690-e86b4772da82,Clusium,char-offset:13899,PLACE,http://pleiades.stoa.org/places/413096,"Clusium|Clusium/Camars, Chiusi|Tomba della Scimmia, Chiusi|Chiusi",43.015733,11.949059,settlement,"5,33",,390 B.C.,
90ba2619-4313-43b1-a618-cfdd3eeacdce,Clusium,char-offset:14185,PLACE,http://pleiades.stoa.org/places/413096,"Clusium|Clusium/Camars, Chiusi|Tomba della Scimmia, Chiusi|Chiusi",43.015733,11.949059,settlement,"5,33",,390 B.C.,
6fcefb4c-2ba0-4b45-8610-1408ef53a78e,Clusium,char-offset:14521,PLACE,http://pleiades.stoa.org/places/413096,"Clusium|Clusium/Camars, Chiusi|Tomba della Scimmia, Chiusi|Chiusi",43.015733,11.949059,settlement,"5,33",,390 B.C.,
111e35f7-5672-40e1-a330-1257b914ad20,Clusium,char-offset:14580,PLACE,http://pleiades.stoa.org/places/413096,"Clusium|Clusium/Camars, Chiusi|Tomba della Scimmia, Chiusi|Chiusi",43.015733,11.949059,settlement,"5,33",,390 B.C.,
28128aaf-6d86-4aa5-a424-b0cc426ddf9e,Clusium,char-offset:14807,PLACE,http://pleiades.stoa.org/places/413096,"Clusium|Clusium/Camars, Chiusi|Tomba della Scimmia, Chiusi|Chiusi",43.015733,11.949059,settlement,"5,33",,390 B.C.,
340f4238-df1a-49bb-bad2-7d1030d575f4,Clusium,char-offset:19553,PLACE,http://pleiades.stoa.org/places/413096,"Clusium|Clusium/Camars, Chiusi|Tomba della Scimmia, Chiusi|Chiusi",43.015733,11.949059,settlement,"5,35",,390 B.C.,
b889706b-8e17-40f2-b622-15027da761f9,Clusium,char-offset:19701,PLACE,http://pleiades.stoa.org/places/413096,"Clusium|Clusium/Camars, Chiusi|Tomba della Scimmia, Chiusi|Chiusi",43.015733,11.949059,settlement,"5,35",,390 B.C.,
4945e48d-9d04-4708-b41f-19fce0ea1317,Clusium,char-offset:25416,PLACE,http://pleiades.stoa.org/places/413096,"Clusium|Clusium/Camars, Chiusi|Tomba della Scimmia, Chiusi|Chiusi",43.015733,11.949059,settlement,"5,37",,386 B.C.,
d0ff837b-7d27-4553-be06-56d255f54897,Cnaeus Cornelius,char-offset:36336,PERSON,,,,,,"5,9",,402 B.C.,
074c9e95-1bd5-4d1b-838f-318aecd9c08d,Cnaeus Cornelius,char-offset:38191,PERSON,,,,,,"5,10",,401 B.C.,
bcf7332f-ea53-4f35-99f5-9c61235e33d7,Cnaeus Cornelius Cossus-for,char-offset:28120,PERSON,,,,,,"5,6",,403 B.C.,
0b32cfad-8f1c-4787-9f90-5ef0acea2780,Cnaeus Duilius,char-offset:39424,PERSON,,,,,,"5,11",,401 B.C.,
838d5a7a-2f7d-4082-bcc7-8ebf7ff1c030,Cnaeus Genucius,char-offset:52340,PERSON,,,,,,"5,15",,398 B.C.,
60936752-a2a4-4649-a7e7-20f25a71d2da,Cnaeus Trebonius,char-offset:30767,PERSON,,,,,,"5,7",,403 B.C.,
43170c52-e664-4491-adfe-15f7273080d5,Cornelii,char-offset:69876,PEOPLE,,,,,,"5,21",,392 B.C.,
e7ec070f-1e5e-40d7-8055-9206e089e40c,Cornelius,char-offset:49777,PERSON,,,,,,"5,14",,399 B.C.,
b071ee51-b8f7-407b-8772-ee3a2e53a0d2,Cossus,char-offset:69648,PERSON,,,,,,"5,20",,392 B.C.,
7778acf4-6075-4b03-a403-cb10a4741264,Crustumerium,char-offset:25792,PLACE,http://pleiades.stoa.org/places/422914,"Crustumerium|Crustumerium, Marcigliana, Roma",42.01508,12.55006,settlement,"5,37",,386 B.C.,
0fa2ab66-2f4f-49ce-b4d0-a15abb717820,Crustuminian mountains,char-offset:25719,PLACE,,,,,,"5,37",,386 B.C.,
247f7dce-763c-47bc-8eb5-cbfe010db7aa,Curies,char-offset:68910,PLACE,,,,,,"5,52",,386 B.C.,
62002101-c052-48d3-a0c2-90724a52e361,Delphi,char-offset:433,PLACE,http://pleiades.stoa.org/places/540726,"Delphi|Delphi/Delphoi, Delphi",38.482289,22.501169,"sanctuary,settlement","5,28",,390 B.C.,
ad7980f9-d951-4ffb-85a0-7f9881d9e4eb,Delphi,char-offset:1207,PLACE,http://pleiades.stoa.org/places/540726,"Delphi|Delphi/Delphoi, Delphi",38.482289,22.501169,"sanctuary,settlement","5,28",,390 B.C.,
271d4511-194d-474e-bd31-556f378dda4f,Diana,char-offset:39929,PERSON,,,,,,"5,11",,401 B.C.,
594a9c2c-f91d-4a24-ae24-2564ca888d1f,Elitovius,char-offset:18849,PERSON,,,,,,"5,35",,390 B.C.,
8b57b349-98cf-4fbb-8b44-0480bafc33a0,Etruria,char-offset:2055,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,2",,403 B.C.,
d1817f08-0863-4774-8940-cd266a3fc4be,Etruria,char-offset:11043,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,2",,403 B.C.,
48505e5f-f993-48fe-8334-fda89837e497,Etruria,char-offset:13202,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,3",,403 B.C.,
e7c6b9e9-721f-4c9d-b50f-7f68d81a7ae6,Etruria,char-offset:13850,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,3",,403 B.C.,
0f6c04a6-8624-4b87-93d5-ba773f20d5cd,Etruria,char-offset:14203,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,3",,403 B.C.,
6177b8ad-e92c-4f05-bbb8-e92e806bc24b,Etruria,char-offset:17380,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,4",,403 B.C.,
9816365b-33c8-48d3-a634-c51130d657c8,Etruria,char-offset:17822,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,4",,403 B.C.,
b2e2ee92-748b-4893-862a-1f50b8acc67b,Etruria,char-offset:50892,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,15",,398 B.C.,
c3d9165e-3946-4e4a-a4a8-85e119ccb9c2,Etruria,char-offset:50994,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,15",,398 B.C.,
c49290d8-556f-416f-9bbe-7579c2cb729f,Etruria,char-offset:51445,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,15",,398 B.C.,
583b01a7-2908-4d98-ad9f-0c6a6c922754,Etruria,char-offset:54489,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,16",,398 B.C.,
2fa4d6f7-b347-4047-81e7-d075d99c1e01,Etruria,char-offset:19877,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,35",,390 B.C.,
04f34610-9187-4672-9ac5-f64624e12a58,Etruria,char-offset:21799,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,36",,386 B.C.,
7ef25270-483d-4a74-a22e-b5ff577adbcc,Etruria,char-offset:74043,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,54",,386 B.C.,
a8d0639f-095d-421a-827e-4a77132abaaf,Etruscan,char-offset:22219,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,36",,386 B.C.,
f263e654-c935-4322-9605-01be1c68ecf1,Etruscan,char-offset:22413,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,36",,386 B.C.,
64cf91be-976c-4492-b8a9-e4a01bea6ece,Etruscans,char-offset:14155,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,33",,390 B.C.,
89be69f5-eebf-46f7-8767-1cccc3429ec5,Etruscans,char-offset:14862,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,33",,390 B.C.,
7f04ab3b-d31e-4fb7-8750-356ca8344fd3,Etruscans,char-offset:14976,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,33",,390 B.C.,
46dd3692-3523-409d-89f0-522ce0726c7d,Etruscans,char-offset:19339,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,35",,390 B.C.,
