ID,Quote Trans,Anchor,Types ,URI,Vocab,LAT,LNG,Place_Type,Citation,Relationship,Date,Location Precision 
cd64670d-0844-4ea9-8aa9-27dc6c2965e2,Nautius Rutilus,char-offset:4817,PERSON,,,,,,"4,47",,418 B. C.,
49e02360-5784-4781-9780-a7a41a44ec3e,Nomentum,char-offset:15244,PLACE,http://pleiades.stoa.org/places/422986,"Nomentum|Nomentum, Mentana|Mentana",42.03398,12.63764,"settlement-modern,settlement","4,22",,435 B.C.,
6d48b98e-712a-4aff-8b95-4910197f85ab,Nomentum,char-offset:38651,PLACE,http://pleiades.stoa.org/places/422986,"Nomentum|Nomentum, Mentana|Mentana",42.03398,12.63764,"settlement-modern,settlement","4,30",,430-428 B. C.,
1107816e-c13d-451e-b34b-fdee30758212,Numa Pompilius,char-offset:8610,PERSON,,,,,,"4,3",,445 B.C.,
fcbd0c1c-64f5-4821-b8c8-b3eb11f88182,Numa Pompilius,char-offset:10767,PERSON,,,,,,"4,4",,445 B.C.,
e41a599a-a817-4d19-a8d3-bcbec88195e6,Numerius Fabius Ambustus,char-offset:34738,PERSON,,,,,,"4,58",,407 B.C.,
d3c91c2d-4049-4603-9e08-eaa0d0cc7b37,Numerius Fabius Vibulanus,char-offset:29441,PERSON,,,,,,"4,43",,421 B. C.,
6126747c-fc4c-47e7-8f55-c87ab0275f03,Numerius Fabius Vibulanus,char-offset:8769,PERSON,,,,,,"4,49",,416-414 B. C.,
956ad86d-2670-4d71-a75f-6f56dec3d797,Ostia,char-offset:36931,PLACE,http://pleiades.stoa.org/places/422995,"Ostia|Ostia, Ostia Antica",41.7548549,12.287656,"taberna-shop,urban,theatre,church,settlement,plaza","4,30",Ally,430-428 B. C.,
3ba5007f-0c8d-43e6-87d9-10c1fefdf499,P. Aelius,char-offset:22845,PERSON,,,,,,"4,54",,409 B.C.,
cc3f2001-eacb-4ddf-9809-3c6f3c32bf63,P. Cornelius,char-offset:31564,PERSON,,,,,,"4,57",,408 B.C.,
519b56a5-072f-470b-b0d2-88202a0007c2,P. Cornelius Cossus,char-offset:8697,PERSON,,,,,,"4,49",,416-414 B. C.,
e6fccc3c-b9ea-4ecb-b565-fc32e869ce6e,P. Cornelius Cossus,char-offset:27571,PERSON,,,,,,"4,56",,408 B.C.,
d1d51452-0183-4fec-acb4-2b810f0552f6,P. Cornelius Cossus,char-offset:34692,PERSON,,,,,,"4,58",,407 B.C.,
0f46fae0-73cb-4888-8973-cf5149fd316b,P. Cornelius Maluginensis,char-offset:42496,PERSON,,,,,,"4,61",,404 B.C.,
11aefa86-6617-474e-b70c-38dc0e3b5a2f,P. Lucretius Tricipitinus,char-offset:36386,PERSON,,,,,,"4,45",,419 B. C.,
8b5a6801-033a-4175-844f-c25234ade5e6,P. Lucretius Tricipitinus,char-offset:4623,PERSON,,,,,,"4,47",,418 B. C.,
a0144fd8-c11a-4151-a83b-2b90fb2c70b8,P. Pupius,char-offset:22860,PERSON,,,,,,"4,54",,409 B.C.,
dd0dad0e-321e-400b-b561-8724231d5e3b,P. Sestius,char-offset:13249,PERSON,,,,,,"4,50",,414-413 B. C.,
e053bb6c-a1a2-458b-bcb8-af5208e37d35,Papirius,char-offset:24631,PERSON,,,,,,"4,8",,444 - 443 B. C.,
9b111569-c6d9-4b3c-aecf-18a1af6d45e7,Poetilius,char-offset:33217,PERSON,,,,,,"4,12",,440 B. C.,
cb662ece-1792-4301-96e4-9af157c144b2,Pompilius,char-offset:33529,PERSON,,,,,,"4,44",,420 B. C.,
45ba5be7-9bc9-4ac1-b587-350d8244786c,Pomptine,char-offset:21825,PEOPLE,http://pleiades.stoa.org/places/433034,Pomptinus Ager,41.25,12.75,region,"4,25",Ally,432 B.C.,
bb29ee99-44d1-48f3-bd0d-85eb2a75217a,Porta Principalis,char-offset:9103,PLACE,,,,,,"4,19",,437 B. C.,
3890c32a-52e2-4c5f-8ca9-dd81536feb29,Postumia,char-offset:35825,PERSON,,,,,,"4,44",,420 B. C.,
76c58ec4-43d2-40a1-92ab-be005581c295,Postumius,char-offset:32912,PERSON,,,,,,"4,28",,431 B.C.,
2eac343e-f111-4728-b6f1-a6e88637808b,Postumius,char-offset:34946,PERSON,,,,,,"4,29",,431-429 B. C.,
cd250a35-c7f0-4876-9e45-0b8d548e60f2,Postumius,char-offset:10179,PERSON,,,,,,"4,49",,416-414 B. C.,
