UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,CITE,Relationship,Date,Location Precision 
a7e028b7-9f94-4946-b7bc-c2356a967adf,Caeso,char-offset:51586,PERSON,,,,,,"3,17",,460 B.C.,
03162584-54d9-4853-ba06-6b7eae07d7ab,Caeso,char-offset:51861,PERSON,,,,,,"3,17",,460 B.C.,
bc04e76c-119f-4a4a-ab6d-377bef7718bb,Caeso,char-offset:52554,PERSON,,,,,,"3,17",,460 B.C.,
5d7bb6a2-ea87-4eb2-aba4-289e3b2a5512,Caeso,char-offset:65739,PERSON,,,,,,"3,21",,460 B.C.,
3ce89305-5e40-4ed4-936d-131c5ab8acd9,Caeso,char-offset:66023,PERSON,,,,,,"3,22",,459 B.C.,
e5eb1f6b-2047-496d-97e8-70cd96db17b2,Caeso,char-offset:66424,PERSON,,,,,,"3,22",,459 B.C.,
4477ca4e-816e-44a4-9e50-8f99825eda25,Caeso,char-offset:68111,PERSON,,,,,,"3,22",,459 B.C.,
c018f9fb-0554-430c-bb41-8d979d94aaed,Caius Claudius,char-offset:157870,PERSON,,,,,,"3,58",,449 B.C.,
58b144bb-bb67-462d-b6d7-fc4bf21d0a8d,Caius Julius,char-offset:89354,PERSON,,,,,,"3,35",,450 B.C.,
5ee5f439-1f84-44b0-b769-506e362d7634,Caius Oppius,char-offset:147261,PERSON,,,,,,"3,54",,450 B.C.,
3525ae4a-9a3f-4c2a-97f2-15eff218db71,Capitoline,char-offset:49792,PLACE,http://pleiades.stoa.org/places/347036492,Capitolinus Mons,41.8925778,12.4822154,hill,"3,16",,460 B.C.,
a9822005-0d87-4e5c-8a3e-f02fa9e6e6ee,Ceres,char-offset:149617,PLACE,http://sws.geonames.org/3179099,Ceres,45.31336,7.38961,,"3,55",,449 B.C.,
9588e6bb-08e3-418d-bd7f-03640f7224d5,Ceres,char-offset:150756,PLACE,http://sws.geonames.org/3179099,Ceres,45.31336,7.38961,,"3,55",,449 B.C.,
aad4bf7a-c217-4a18-888f-b1d7b5030370,Claudii,char-offset:158893,PERSON,,,,,,"3,58",,449 B.C.,
5307da6a-5beb-489b-8a35-edf2f7fd4008,Claudii,char-offset:159517,PERSON,,,,,,"3,59",,449 B.C.,
eccd22c6-539c-4dfe-9cfe-cd4dedce2462,Claudius,char-offset:51224,PERSON,,,,,,"3,16",,460 B.C.,
bfc5094c-eda2-48c8-b428-5eb6f64e5ef9,Claudius,char-offset:87700,PERSON,,,,,,"3,34",,451 B.C.,
a15f9017-4698-4c5e-a9ba-7dd0907ee438,Claudius,char-offset:107203,PERSON,,,,,,"3,38",,450 B.C.,
6cab85ec-b112-4f67-9f4e-d3d43aa4babb,Claudius,char-offset:107371,PERSON,,,,,,"3,38",,450 B.C.,
b7b4a8ca-9539-449b-a2c6-36c2b2092c9b,Claudius,char-offset:109156,PERSON,,,,,,"3,38",,450 B.C.,
e109d398-ed58-4f3c-a34a-f29ce343b2c5,Claudius,char-offset:112923,PERSON,,,,,,"3,40",,450 B.C.,
9910bb4e-f43b-4896-9d66-cdfc7a1e6c79,Claudius,char-offset:116881,PERSON,,,,,,"3,43",,450 B.C.,
b77bce98-7a45-4e1f-aa63-699086486143,Claudius,char-offset:160738,PERSON,,,,,,"3,60",,449 B.C.,
3c77da5b-a0ac-4a1c-b752-1eb8b3e2f097,Colline,char-offset:138443,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","3,50",,450 B.C.,
a2c62cc3-b027-4103-8f35-ab5eeb70bc8f,Corbio,char-offset:77622,PLACE,http://pleiades.stoa.org/places/252193,Corbio,,,unlocated,"3,26",,458 B.C.,
815b1f63-3c31-46ef-82f1-96b0e77b0998,Corbio,char-offset:80930,PLACE,http://pleiades.stoa.org/places/252193,Corbio,,,unlocated,"3,29",,458 B.C.,
396e6c98-84c0-48e9-9316-20d912743d35,Corbio,char-offset:82324,PLACE,http://pleiades.stoa.org/places/252193,Corbio,,,unlocated,"3,30",,458 B.C.,
e5ce98b8-a465-4f9b-a38d-9ac19183abb6,Corbio,char-offset:82477,PLACE,http://pleiades.stoa.org/places/252193,Corbio,,,unlocated,"3,30",,458 B.C.,
6a9bae2c-f5fa-470d-9001-4cb534ee67ac,Corbio,char-offset:82496,PLACE,http://pleiades.stoa.org/places/252193,Corbio,,,unlocated,"3,30",,458 B.C.,
f3efb707-519f-4162-b700-1927fb0dbf70,Corbio,char-offset:181954,PLACE,http://pleiades.stoa.org/places/252193,Corbio,,,unlocated,"3,66",,449 B.C.,
17ebf5be-5bf1-4ce8-8568-3b901dd93e4e,Corbio,char-offset:192098,PLACE,http://pleiades.stoa.org/places/252193,Corbio,,,unlocated,"3,69",,449 B.C.,
9c387eab-dc7c-4636-b37a-a98149c2602e,Corioli,char-offset:197560,PLACE,http://pleiades.stoa.org/places/438723,Corioli,,,"unlocated,settlement","3,71",,449 B.C.,
d7ad824e-cf1f-4f79-b158-ca8d28bd80e9,Corioli,char-offset:197729,PLACE,http://pleiades.stoa.org/places/438723,Corioli,,,"unlocated,settlement","3,71",,449 B.C.,
9e1a848e-9804-4830-9f22-b42ad3d16495,Corioli,char-offset:197882,PLACE,http://pleiades.stoa.org/places/438723,Corioli,,,"unlocated,settlement","3,72",,449 B.C.,
b24a5079-5549-4064-9fad-3212c89c1407,Cornelius,char-offset:61161,PERSON,,,,,,"3,19",,460 B.C.,
b446545c-a694-44a1-9873-d7a4b3d9f830,Cornelius,char-offset:63856,PERSON,,,,,,"3,20",,460 B.C.,
97f641af-c815-428c-b79b-4f3c10f3eb8b,Cremera,char-offset:185,PLACE,http://pleiades.stoa.org/places/422912,Cremera (river),42.072946,12.547643,river,"3,1",,467 B.C.,
b20a9d1f-18cb-4a74-ab71-d0b13b09fcb5,Crustumeria,char-offset:113689,PLACE,http://pleiades.stoa.org/places/422914,"Crustumerium|Crustumerium, Marcigliana, Roma",42.01508,12.55006,settlement,"3,41",,450 B.C.,
7b01aa3e-8dfc-4c9d-8590-83dccd1f5149,Duillius,char-offset:175898,PERSON,,,,,,"3,63",,449 B.C.,
9e079103-796a-4b34-aa1a-fe50aa2c89ac,Duillius,char-offset:176519,PERSON,,,,,,"3,63",,449 B.C.,
b14c7c1a-fed0-474c-9502-2357539d19cc,Duillius,char-offset:177466,PERSON,,,,,,"3,64",,449 B.C.,
008c6481-3472-4080-b446-843b7941561e,Ecetra,char-offset:8003,PLACE,http://pleiades.stoa.org/places/438730,Ecetra,,,unlocated,"3,4",,464 B.C.,
bb8982d2-feab-48ac-8757-633633afcd00,Ecetra,char-offset:8299,PLACE,http://pleiades.stoa.org/places/438730,Ecetra,,,unlocated,"3,4",,464 B.C.,
dd158fcb-8e21-4dba-b16e-f075a087f41b,Ecetra,char-offset:28437,PLACE,http://pleiades.stoa.org/places/438730,Ecetra,,,unlocated,"3,12",,461 B.C.,
e5766e7d-24dc-4c16-81cd-18554f33c8cb,Eretum,char-offset:79974,PLACE,http://pleiades.stoa.org/places/413212,"Montelibretti|Colle del Forno, Montelibretti|Eretum|Eretum/Aquae Labanae, Casa Cotta, Montelibretti|Rimane, Ponte di Casa Cotta, Montelibretti",42.118392,12.645247,settlement,"3,28",,458 B.C.,
c4feb7bc-07f3-4d46-a7da-c05512dd9196,Eretum,char-offset:100088,PLACE,http://pleiades.stoa.org/places/413212,"Montelibretti|Colle del Forno, Montelibretti|Eretum|Eretum/Aquae Labanae, Casa Cotta, Montelibretti|Rimane, Ponte di Casa Cotta, Montelibretti",42.118392,12.645247,settlement,"3,37",,450 B.C.,
