QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,CITATION,RELATIONSHIP (ALLY/ENEMY),DATE,LOCATION PRECISION 
Curiatii,char-offset:70449,PEOPLE,http://pleiades.stoa.org/places/413114,"Cures|Cures/Cures Sabini, Santa Maria in Arci, Fara in Sabina",42.18449,12.680562,settlement,"1,26",,670 B.C.,YES
Curiatii,char-offset:71077,PEOPLE,http://pleiades.stoa.org/places/413114,"Cures|Cures/Cures Sabini, Santa Maria in Arci, Fara in Sabina",42.18449,12.680562,settlement,"1,26",,670 B.C.,YES
Curiatii,char-offset:81498,PEOPLE,http://pleiades.stoa.org/places/413114,"Cures|Cures/Cures Sabini, Santa Maria in Arci, Fara in Sabina",42.18449,12.680562,settlement,"1,30",,650 B.C.,YES
Curiatius,char-offset:66559,PLACE,http://pleiades.stoa.org/places/413114,"Cures|Cures/Cures Sabini, Santa Maria in Arci, Fara in Sabina",42.18449,12.680562,settlement,"1,25",,670 B.C.,YES
Curtian lake,char-offset:34475,PLACE,,,,,,"1,13",,750 B.C.,NO
Cyprius Vicus,char-offset:132031,PLACE,http://pleiades.stoa.org/places/715215852,Santa Sabina,41.8845877,12.4800791,church,"1,48",,530 B.C.,YES
Delphi,char-offset:151883,PLACE,http://pleiades.stoa.org/places/540726,"Delphi|Delphi/Delphoi, Delphi",38.482289,22.501169,"sanctuary,settlement","1,56",,510 B.C.,YES
Delphi,char-offset:152942,PLACE,http://pleiades.stoa.org/places/540726,"Delphi|Delphi/Delphoi, Delphi",38.482289,22.501169,"sanctuary,settlement","1,56",,510 B.C.,YES
Enetians,char-offset:478,PEOPLE,http://pleiades.stoa.org/places/845034,Paphlagonia (region),41.44846297,33.23855022,region,"1,1",,1200 B.C.,YES
Enetians,char-offset:658,PEOPLE,http://pleiades.stoa.org/places/845034,Paphlagonia (region),41.44846297,33.23855022,region,"1,1",,1200 B.C.,YES
Esquiline,char-offset:120170,PLACE,http://pleiades.stoa.org/places/866548110,Auditorium Maecenatis,41.8940964,12.5012225,architecturalcomplex,"1,44",,550 B.C.,YES
Esquiline,char-offset:132151,PLACE,http://pleiades.stoa.org/places/866548110,Auditorium Maecenatis,41.8940964,12.5012225,architecturalcomplex,"1,48",,530 B.C.,YES
Etruria,char-offset:4353,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,2",,1200 B.C.,YES
Etruria,char-offset:82767,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,30",,650 B.C.,YES
Etruria,char-offset:100536,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,35",,620 B.C.,YES
Etruria,char-offset:149767,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,55",,520 B.C.,YES
Etruria,char-offset:150485,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,56",,510 B.C.,YES
Etruria,char-offset:19877,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,8",,750 B.C.,YES
Etruscan,char-offset:114713,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,42",,570 B.C.,YES
Etruscan,char-offset:151690,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,56",,510 B.C.,YES
Etruscan State,char-offset:60131,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,23",,670 B.C.,YES
Etruscans,char-offset:38505,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,15",,750 B.C.,YES
Etruscans,char-offset:3676,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,2",,1200 B.C.,YES
Etruscans,char-offset:6216,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,3",,1200-800 B.C.,YES
Etruscans,char-offset:6384,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,3",,1200-800 B.C.,YES
Etruscans,char-offset:6575,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,3",,1200-800 B.C.,YES
Etruscans,char-offset:82087,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,30",,650 B.C.,YES
Etruscans,char-offset:82788,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,30",,650 B.C.,YES
Etruscans,char-offset:95354,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,34",,625 B.C.,YES
Etruscans,char-offset:96558,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,34",,625 B.C.,YES
Etruscans,char-offset:120478,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,44",,550 B.C.,YES
Etruscans,char-offset:148220,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,55",,520 B.C.,YES
Etruscans,char-offset:163800,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,60",,507 B.C.,YES
Etruscans,char-offset:19730,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,8",,750 B.C.,YES
