UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,Cite,Relationship,Date,Location Precision 
57aa1f69-f4f0-4616-94dc-e70a6735d1d6,Greece,char-offset:5287,PLACE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,11",,,
c6d89de5-de42-4b75-98c2-6ae1500280be,Greece,char-offset:9975,PLACE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,13",,,
7d6fa3b8-af61-48e8-b327-c9208defe6b6,Greece,char-offset:19815,PLACE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,18",,,
31228a2e-7d3a-4c5e-a331-2dcada860f6a,Greece,char-offset:30440,PLACE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,23",,,
475e64af-74a3-420d-a139-a91584b33cb9,Greece,char-offset:34106,PLACE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,24",,,
af4a4428-4d67-4c0a-b06f-7fb292d20331,Greece,char-offset:36210,PLACE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,25",,,
32e44170-2e27-4b5d-858d-b7eec21f0e5c,Greece,char-offset:36407,PLACE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,25",,,
dd76b493-aa5f-4848-abe6-ab7237d0e343,Greece,char-offset:42373,PLACE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,28",,,
3c681b01-28d6-4e23-8289-ab8b429ffe95,Greece,char-offset:48433,PLACE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,31",,,
8d8cdd48-0208-47b0-b6cf-5dcf1d20a1b5,Greece,char-offset:7076,PLACE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,47",,,YES
89251be5-456a-478c-b931-0aedfd210763,Greek,char-offset:4174,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,11",,,
1a31b6ff-d402-4b08-9ee4-f8d251d022dc,Greek,char-offset:4395,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,11",,,
cb751a77-1b19-4a95-a03e-73aedb73fc0a,Greek,char-offset:4428,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,11",,,
2f9be308-0fe6-42f6-b144-bbc9822cde6a,Greek,char-offset:9668,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,13",,,
17c31a28-5895-4b37-9162-da661bc1cfd6,Greek,char-offset:17949,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,17",,,
81529d6b-6029-44d7-adc8-c7e64aeb8754,Greek,char-offset:46909,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,31",,,
2a6774c2-fedb-47a9-83ac-3378425ee321,Greek,char-offset:47380,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,31",,,
